2026-05-19 23:42:52 status unpacked libssl-dev:amd64 3.5.6-1~deb13u1
2026-05-19 23:42:52 install libtcl8.6:amd64 <none> 8.6.16+dfsg-1
2026-05-19 23:42:52 status half-installed libtcl8.6:amd64 8.6.16+dfsg-1
2026-05-19 23:42:52 status unpacked libtcl8.6:amd64 8.6.16+dfsg-1
2026-05-19 23:42:52 install libxau6:amd64 <none> 1:1.0.11-1
2026-05-19 23:42:52 status half-installed libxau6:amd64 1:1.0.11-1
2026-05-19 23:42:52 status unpacked libxau6:amd64 1:1.0.11-1
2026-05-19 23:42:52 install libxdmcp6:amd64 <none> 1:1.1.5-1
2026-05-19 23:42:52 status half-installed libxdmcp6:amd64 1:1.1.5-1
2026-05-19 23:42:52 status unpacked libxdmcp6:amd64 1:1.1.5-1
2026-05-19 23:42:52 install libxcb1:amd64 <none> 1.17.0-2+b1
2026-05-19 23:42:52 status half-installed libxcb1:amd64 1.17.0-2+b1
2026-05-19 23:42:52 status unpacked libxcb1:amd64 1.17.0-2+b1
